,Type,Date,Num,Name,Memo,Split,Amount,Balance
2100 · Credit Card,,,,,,,,2166.13
2118 · PC Finacial MasterCard,,,,,,,,2166.13



,Transfer,5/24/2022,,,Funds Transfer,10202 · TD saving,-1988,
,Transfer,5/27/2022,,,Funds Transfer,10091 · Coast Business High Savings 200,-601,
,Transfer,6/3/2022,,,Funds Transfer,10202 · TD saving,-1000,
,Transfer,6/10/2022,,,Funds Transfer,10202 · TD saving,-960,
,Transfer,6/17/2022,,,Funds Transfer,1005 · Simiplii PC FIANCIAL CHEQUE,-1200,

,,,,,,,,-5749

,General Journal,5/19/2022,9142,,,6270 · Professional Fees,-12.32,






























,General Journal,5/19/2022,8982,,,6550 · Office Supplies,16.79
,General Journal,5/19/2022,8984,,,6550 · Office Supplies,8.39
,General Journal,5/20/2022,8994,,,6550 · Office Supplies,82.64
,General Journal,5/20/2022,8995,,,6550 · Office Supplies,37.79
,General Journal,5/21/2022,8996,,,6550 · Office Supplies,27.45
,General Journal,5/21/2022,8997,,,6405 · Kins Farm Market,1.49
,General Journal,5/21/2022,8998,,,6550 · Office Supplies,32.47
,General Journal,5/21/2022,8999,,,6550 · Office Supplies,40.94
,General Journal,5/21/2022,9000,,,6550 · Office Supplies,162.39
,General Journal,5/21/2022,9001,,,6550 · Office Supplies,31.49
,General Journal,5/21/2022,9143,,,6550 · Office Supplies,30.22
,General Journal,5/22/2022,9002,,,6550 · Office Supplies,26.64
,General Journal,5/22/2022,9003,,,6550 · Office Supplies,21.99
,General Journal,5/22/2022,9004,,,6550 · Office Supplies,31.45
,General Journal,5/22/2022,9005,,,6550 · Office Supplies,35.69
,General Journal,5/22/2022,9006,,,6550 · Office Supplies,25.95
,General Journal,5/22/2022,9034,,,6550 · Office Supplies,-37.46
,General Journal,5/23/2022,9007,,,6550 · Office Supplies,48.73
,General Journal,5/23/2022,9008,,,6550 · Office Supplies,63
,General Journal,5/23/2022,9009,,,6550 · Office Supplies,40.99
,General Journal,5/23/2022,9010,,,6550 · Office Supplies,42.99
,General Journal,5/23/2022,9011,,,6550 · Office Supplies,26.79
,General Journal,5/23/2022,9012,,,6550 · Office Supplies,51.38
,General Journal,5/23/2022,9013,,,6550 · Office Supplies,59.42
,General Journal,5/23/2022,9014,,,6550 · Office Supplies,32.45
,General Journal,5/24/2022,9015,,,6550 · Office Supplies,23.52
,General Journal,5/24/2022,9016,,,6550 · Office Supplies,31.49
,General Journal,5/25/2022,9017,,,6550 · Office Supplies,62.98
,General Journal,5/25/2022,9018,,,6550 · Office Supplies,28.34
,General Journal,5/25/2022,9019,,,6550 · Office Supplies,43.94
,General Journal,5/25/2022,9020,,,6550 · Office Supplies,15.94
,General Journal,5/25/2022,9021,,,6550 · Office Supplies,14.98
,General Journal,5/25/2022,9022,,,6550 · Office Supplies,22.1
,General Journal,5/25/2022,9023,,,6550 · Office Supplies,38.53
,General Journal,5/25/2022,9024,,,6550 · Office Supplies,10.99
,General Journal,5/25/2022,9025,,,6400 · Home supplier,5.76
,General Journal,5/25/2022,9035,,,6429 · CAR INSURANCE,1396
,General Journal,5/25/2022,9144,,,6550 · Office Supplies,17.34
,General Journal,5/26/2022,9036,,,6550 · Office Supplies,34.08
,General Journal,5/26/2022,9037,,,6550 · Office Supplies,11.28
,General Journal,5/26/2022,9038,,,6550 · Office Supplies,21.95
,General Journal,5/26/2022,9039,,,6550 · Office Supplies,72.46
,General Journal,5/26/2022,9040,,,6550 · Office Supplies,23.59
,General Journal,5/26/2022,9145,,,6550 · Office Supplies,24.94
,General Journal,5/27/2022,9041,,,1701 · DOMAIN RESELLER ACCOUNT,20.99
,General Journal,5/27/2022,9042,,,6401 · Super Store,41.98
,General Journal,5/27/2022,9043,,,6400 · Home supplier,24.89
,General Journal,5/27/2022,9044,,,6400 · Home supplier,12.02
,General Journal,5/27/2022,9045,,,6550 · Office Supplies,20.34
,General Journal,5/27/2022,9146,,,6550 · Office Supplies,22.34
,General Journal,5/27/2022,9147,,,6550 · Office Supplies,11.77
,General Journal,5/27/2022,9148,,,6550 · Office Supplies,23.49
,General Journal,5/28/2022,9046,,,6400 · Home supplier,34.64
,General Journal,5/28/2022,9047,,,6400 · Home supplier,25.18
,General Journal,5/28/2022,9048,,,6550 · Office Supplies,24.36
,General Journal,5/28/2022,9051,,,6400 · Home supplier,3.97
,General Journal,5/28/2022,9052,,,6550 · Office Supplies,19.1
