,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"2100 · Credit Card",,,,,,,,2265.76
"2118 · PC Finacial MasterCard",,,,,,,,2265.76
,"Transfer","11/19/2021",,,"Funds Transfer","1005 · Simiplii PC FIANCIAL CHEQUE",-1000.00,1265.76
,"General Journal","11/19/2021","8604",,,"6270 · Professional Fees",-20.14,1245.62
,"General Journal","11/20/2021","8584",,,"6550 · Office Supplies",15.04,1260.66
,"General Journal","11/20/2021","8595",,,"6402 · Walmart",16.06,1276.72
,"General Journal","11/20/2021","8596",,,"6401 · Super Store",25.93,1302.65
,"General Journal","11/20/2021","8600",,,"6402 · Walmart",31.15,1333.80
,"General Journal","11/20/2021","8601",,,"1282 · PHYSIOTHERA",136.50,1470.30
,"General Journal","11/20/2021","8605",,,"6650 · Google Adwords",100.00,1570.30
,"General Journal","11/23/2021","8606",,,"6403 · T & T",10.04,1580.34
,"General Journal","11/23/2021","8607",,"Major Restorative 	$1,189.00","6181 · Dentist",549.00,2129.34
,"General Journal","11/23/2021","8608",,,"6405 · Kins Farm Market",3.92,2133.26
,"General Journal","11/23/2021","8609",,"helmet","6550 · Office Supplies",-100.79,2032.47
,"General Journal","11/24/2021","8610",,,"6370 · Meals",240.90,2273.37
,"General Journal","11/24/2021","8611",,,"6550 · Office Supplies",112.64,2386.01
,"General Journal","11/24/2021","8612",,,"6550 · Office Supplies",145.59,2531.60
,"General Journal","11/24/2021","8613",,,"6550 · Office Supplies",89.76,2621.36
,"General Journal","11/25/2021","8614",,,"6550 · Office Supplies",18.73,2640.09
,"General Journal","11/25/2021","8615",,,"6019 · Parking",2.00,2642.09
,"General Journal","11/25/2021","8616",,,"6403 · T & T",20.60,2662.69
,"General Journal","11/25/2021","8617",,,"6403 · T & T",15.33,2678.02
,"General Journal","11/25/2021","8619",,,"6402 · Walmart",14.49,2692.51
,"General Journal","11/27/2021","8620",,,"1276207 · Osteopath",99.75,2792.26
,"General Journal","11/27/2021","8621",,,"6348 · Telus $100/Year  (778)887.8868",25.54,2817.80
,"General Journal","11/28/2021","8624",,"??","6650 · Google Adwords",8.20,2826.00
,"Transfer","11/29/2021",,,"Funds Transfer","1005 · Simiplii PC FIANCIAL CHEQUE",-1265.76,1560.24
,"General Journal","11/29/2021","8638",,,"6650 · Google Adwords",-100.00,1460.24
,"General Journal","11/29/2021","8639",,,"1713 · Godaddy",-8.20,1452.04
,"General Journal","11/30/2021","8628",,,"40501 · HostDime hosting",160.47,1612.51
,"General Journal","12/1/2021","8629",,,"6550 · Office Supplies",15.59,1628.10
,"General Journal","12/1/2021","8630",,,"6550 · Office Supplies",12.35,1640.45
,"General Journal","12/1/2021","8631",,,"6550 · Office Supplies",24.99,1665.44
,"General Journal","12/1/2021","8632",,,"6550 · Office Supplies",20.53,1685.97
,"General Journal","12/1/2021","8633",,,"6550 · Office Supplies",84.29,1770.26
,"General Journal","12/4/2021","8640",,,"1276207 · Osteopath",99.75,1870.01
,"General Journal","12/6/2021","8642",,,"6270 · Professional Fees",1.11,1871.12
,"General Journal","12/6/2021","8643",,,"6550 · Office Supplies",33.59,1904.71
,"General Journal","12/6/2021","8644",,,"6550 · Office Supplies",30.44,1935.15
,"General Journal","12/6/2021","8645",,,"6550 · Office Supplies",23.10,1958.25
,"General Journal","12/7/2021","8646",,,"6019 · Parking",2.00,1960.25
,"General Journal","12/7/2021","8647",,,"6403 · T & T",21.20,1981.45
,"General Journal","12/7/2021","8648",,,"6402 · Walmart",2.97,1984.42
,"General Journal","12/8/2021","8649",,,"1711 · 1and1 domain",26.62,2011.04
,"General Journal","12/8/2021","8653",,,"1711 · 1and1 domain",27.28,2038.32
,"General Journal","12/9/2021","8651",,,"6409 · Costco",99.17,2137.49
,"General Journal","12/10/2021","8654",,,"6550 · Office Supplies",19.94,2157.43
,"General Journal","12/10/2021","8655",,,"6550 · Office Supplies",44.08,2201.51
,"General Journal","12/10/2021","8656",,,"6401 · Super Store",4.14,2205.65
,"General Journal","12/10/2021","8657",,,"6403 · T & T",34.00,2239.65
,"General Journal","12/11/2021","8658",,,"63951 · TSI Internet  Tek savvy",92.91,2332.56
,"General Journal","12/11/2021","8659",,,"6412 · IKEA",23.32,2355.88
,"General Journal","12/11/2021","8660",,,"6412 · IKEA",2.63,2358.51
,"General Journal","12/11/2021","8661",,,"641201 · Home Depot",19.35,2377.86
,"General Journal","12/11/2021","8662",,,"6402 · Walmart",43.98,2421.84
,"General Journal","12/11/2021","8663",,,"6270 · Professional Fees",65.29,2487.13
,"General Journal","12/11/2021","8664",,"Nexu","6270 · Professional Fees",65.29,2552.42
,"General Journal","12/13/2021","8669",,,"6345 · Telus Cell phone 778-887-8858",11.20,2563.62
,"General Journal","12/16/2021","8672",,,"1282 · PHYSIOTHERA",27.00,2590.62
,"General Journal","12/16/2021","8673",,,"641201 · Home Depot",130.99,2721.61
,"General Journal","12/16/2021","8674",,,"641201 · Home Depot",29.58,2751.19
,"General Journal","12/16/2021","8675",,,"6403 · T & T",6.88,2758.07
,"General Journal","12/16/2021","8676",,,"6405 · Kins Farm Market",2.99,2761.06
,"General Journal","12/17/2021","8678",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,2777.70
,"General Journal","12/17/2021","8679",,,"6402 · Walmart",8.71,2786.41
,"Transfer","12/17/2021",,,"Funds Transfer","1005 · Simiplii PC FIANCIAL CHEQUE",-1200.00,1586.41
,"General Journal","12/18/2021","8680",,,"6402 · Walmart",22.78,1609.19
,"General Journal","12/20/2021","8681",,,"641201 · Home Depot",49.53,1658.72
,"General Journal","12/22/2021","8684",,,"127903 · Dietician",120.00,1778.72
"Total 2118 · PC Finacial MasterCard",,,,,,,-487.04,1778.72
"Total 2100 · Credit Card",,,,,,,-487.04,1778.72
"TOTAL",,,,,,,-487.04,1778.72
