,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"2100 · Credit Card",,,,,,,,856.49
"2118 · PC Finacial MasterCard",,,,,,,,856.49
,"General Journal","2/21/2022","8773",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,873.13
,"General Journal","2/21/2022","8776",,"miscroft office","6270 · Professional Fees",12.32,885.45
,"General Journal","2/24/2022","8780",,,"6401 · Super Store",55.89,941.34
,"General Journal","2/25/2022","8779",,,"6402 · Walmart",32.24,973.58
,"General Journal","2/25/2022","8781",,,"6345 · Telus Cell phone 778-887-8858",26.33,999.91
,"General Journal","2/25/2022","8782",,,"6270 · Professional Fees",8.95,1008.86
,"General Journal","2/25/2022","8783",,,"6550 · Office Supplies",31.49,1040.35
,"General Journal","2/28/2022","8784",,,"6550 · Office Supplies",5.30,1045.65
,"General Journal","2/28/2022","8785",,,"6270 · Professional Fees",22.39,1068.04
,"General Journal","2/28/2022","8786",,,"40501 · HostDime hosting",160.99,1229.03
,"Transfer","2/28/2022",,,"Funds Transfer","10091 · Coast Business High Savings 200",-856.49,372.54
,"General Journal","3/1/2022","8791",,,"6403 · T & T",14.00,386.54
,"General Journal","3/3/2022","8792",,"aws","6270 · Professional Fees",96.01,482.55
,"General Journal","3/4/2022","8793",,,"6402 · Walmart",20.37,502.92
,"General Journal","3/4/2022","8794",,,"6401 · Super Store",51.89,554.81
,"General Journal","3/11/2022","8800",,,"6550 · Office Supplies",6.71,561.52
,"General Journal","3/11/2022","8804",,,"6550 · Office Supplies",291.58,853.10
,"General Journal","3/11/2022","8805",,,"6402 · Walmart",32.46,885.56
,"General Journal","3/11/2022","8806",,,"63951 · TSI Internet  Tek savvy",92.91,978.47
,"General Journal","3/11/2022","8807",,,"6345 · Telus Cell phone 778-887-8858",24.64,1003.11
,"General Journal","3/13/2022","8808",,,"6550 · Office Supplies",151.92,1155.03
,"General Journal","3/13/2022","8809",,,"6401 · Super Store",21.76,1176.79
,"General Journal","3/13/2022","8810",,,"6017 · Gas",100.00,1276.79
,"General Journal","3/13/2022","8811",,,"6404 · Rice Word",101.45,1378.24
,"General Journal","3/13/2022","8812",,,"641201 · Home Depot",19.72,1397.96
,"General Journal","3/13/2022","8813",,,"6401 · Super Store",22.26,1420.22
,"General Journal","3/14/2022","8814",,,"6550 · Office Supplies",425.98,1846.20
,"General Journal","3/15/2022","8815",,,"6550 · Office Supplies",15.74,1861.94
,"General Journal","3/18/2022","8821",,,"6550 · Office Supplies",94.49,1956.43
,"General Journal","3/18/2022","8822",,,"6550 · Office Supplies",84.40,2040.83
,"General Journal","3/18/2022","8824",,,"6402 · Walmart",23.70,2064.53
,"General Journal","3/18/2022","8825",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,2081.17
,"General Journal","3/18/2022","8826",,,"6403 · T & T",17.28,2098.45
,"General Journal","3/18/2022","8827",,,"6550 · Office Supplies",31.49,2129.94
"Total 2118 · PC Finacial MasterCard",,,,,,,1273.45,2129.94
"Total 2100 · Credit Card",,,,,,,1273.45,2129.94
"TOTAL",,,,,,,1273.45,2129.94
