,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"2100 · Credit Card",,,,,,,,1767.07
"2118 · PC Finacial MasterCard",,,,,,,,1767.07
,"General Journal","3/18/2022","8821",,,"6550 · Office Supplies",94.49,1861.56
,"General Journal","3/18/2022","8822",,,"6550 · Office Supplies",84.40,1945.96
,"General Journal","3/18/2022","8824",,,"6402 · Walmart",23.70,1969.66
,"General Journal","3/18/2022","8825",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,1986.30
,"General Journal","3/18/2022","8827",,,"6550 · Office Supplies",31.49,2017.79
,"General Journal","3/19/2022","8826",,,"6403 · T & T",17.28,2035.07
,"General Journal","3/19/2022","8911",,,"6401 · Super Store",16.95,2052.02
,"General Journal","3/19/2022","8912",,,"6402 · Walmart",19.20,2071.22
,"General Journal","3/25/2022","8833",,,"6550 · Office Supplies",125.98,2197.20
,"General Journal","3/25/2022","8834",,,"6409 · Costco",75.18,2272.38
,"General Journal","3/25/2022","8835",,,"6404 · Rice Word",32.80,2305.18
,"General Journal","3/25/2022","8836",,,"6402 · Walmart",16.20,2321.38
,"General Journal","3/25/2022","8837",,,"6400 · Home supplier",16.36,2337.74
,"General Journal","3/25/2022","8838",,"office hard drive","6550 · Office Supplies",-425.98,1911.76
,"General Journal","3/29/2022","8839",,,"6270 · Professional Fees",8.95,1920.71
,"General Journal","3/29/2022","8840",,,"6550 · Office Supplies",18.99,1939.70
,"General Journal","3/29/2022","8842",,,"6550 · Office Supplies",29.99,1969.69
,"General Journal","3/29/2022","8843",,"winner 452","6406 · Bentley",1.47,1971.16
,"General Journal","3/29/2022","8844",,,"6550 · Office Supplies",20.89,1992.05
,"General Journal","3/29/2022","8845",,,"6270 · Professional Fees",22.39,2014.44
,"General Journal","3/30/2022","8846",,,"6550 · Office Supplies",18.17,2032.61
,"General Journal","3/30/2022","8847",,,"6550 · Office Supplies",91.41,2124.02
,"General Journal","3/30/2022","8848",,,"6401 · Super Store",59.10,2183.12
,"General Journal","3/31/2022","8849",,,"6550 · Office Supplies",87.13,2270.25
,"General Journal","3/31/2022","8850",,,"6550 · Office Supplies",145.39,2415.64
,"General Journal","3/31/2022","8851",,,"40501 · HostDime hosting",160.61,2576.25
,"General Journal","3/31/2022","8852",,,"6550 · Office Supplies",53.08,2629.33
,"General Journal","4/2/2022","8855",,,"6550 · Office Supplies",174.68,2804.01
,"General Journal","4/4/2022","8873",,,"1008 · Simip (PC  Interest Plus)",-1000.00,1804.01
,"Transfer","4/6/2022",,,"Funds Transfer","1005 · Simiplii PC FIANCIAL CHEQUE",-767.07,1036.94
,"General Journal","4/6/2022","8859",,,"6370 · Meals",9.18,1046.12
,"General Journal","4/6/2022","8860",,,"6409 · Costco",73.70,1119.82
,"General Journal","4/6/2022","8861",,,"6404 · Rice Word",21.10,1140.92
,"General Journal","4/6/2022","8862",,,"6404 · Rice Word",49.16,1190.08
,"General Journal","4/7/2022","8864",,,"6550 · Office Supplies",58.84,1248.92
,"General Journal","4/8/2022","8865",,,"6550 · Office Supplies",13.64,1262.56
,"General Journal","4/8/2022","8866",,,"6550 · Office Supplies",15.11,1277.67
,"General Journal","4/8/2022","8867",,,"6550 · Office Supplies",29.07,1306.74
,"General Journal","4/8/2022","8868",,,"6550 · Office Supplies",36.22,1342.96
,"General Journal","4/8/2022","8869",,,"1712 · Domainsatcost",20.99,1363.95
,"General Journal","4/11/2022","8874",,,"63951 · TSI Internet  Tek savvy",92.91,1456.86
,"General Journal","4/12/2022","8880",,,"6550 · Office Supplies",-11.03,1445.83
,"General Journal","4/13/2022","8881",,,"6550 · Office Supplies",56.53,1502.36
,"General Journal","4/13/2022","8882",,,"6550 · Office Supplies",2.76,1505.12
,"General Journal","4/14/2022","8885",,,"6342 · Fido Cell Phone (778)887-8818",24.64,1529.76
,"General Journal","4/14/2022","8894",,,"6550 · Office Supplies",22.02,1551.78
,"General Journal","4/14/2022","8895",,,"6550 · Office Supplies",26.82,1578.60
,"General Journal","4/15/2022","8896",,,"6550 · Office Supplies",52.80,1631.40
,"General Journal","4/15/2022","8897",,,"6550 · Office Supplies",7.99,1639.39
,"General Journal","4/15/2022","8899",,,"6550 · Office Supplies",116.21,1755.60
,"General Journal","4/16/2022","8891",,,"10091 · Coast Business High Savings 200",-304.56,1451.04
,"General Journal","4/17/2022","8900",,,"6550 · Office Supplies",52.40,1503.44
,"General Journal","4/17/2022","8901",,,"6550 · Office Supplies",7.76,1511.20
,"General Journal","4/17/2022","8907",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,1527.84
,"General Journal","4/18/2022","8902",,,"6550 · Office Supplies",9.44,1537.28
,"General Journal","4/18/2022","8908",,,"6550 · Office Supplies",15.00,1552.28
,"General Journal","4/19/2022","8904",,,"6550 · Office Supplies",15.74,1568.02
,"General Journal","4/19/2022","8905",,,"6550 · Office Supplies",11.54,1579.56
,"General Journal","4/19/2022","8906",,,"6550 · Office Supplies",6.29,1585.85
"Total 2118 · PC Finacial MasterCard",,,,,,,-181.22,1585.85
"Total 2100 · Credit Card",,,,,,,-181.22,1585.85
"TOTAL",,,,,,,-181.22,1585.85
