,Type,Date,Num,Name,Memo,Split,Amount,Balance
2100 · Credit Card,,,,,,,,1587.2
2118 · PC Finacial MasterCard,,,,,,,,1587.2



,General Journal,4/21/2022,8917,,,1005 · Simiplii PC FIANCIAL CHEQUE,-1587.2,


,General Journal,4/21/2022,8919,,,6403 · T & T,13.68,
,General Journal,4/21/2022,8921,,,6403 · T & T,15.5,
,General Journal,4/21/2022,8918,,,6019 · Parking,2,
,General Journal,4/21/2022,8920,,,6401 · Super Store,56.3,
,,,,,,,13.72,
,General Journal,4/29/2022,8930,,,6409 · Costco,47.7,
,General Journal,4/29/2022,8933,,,6403 · T & T,24.68,
,General Journal,4/29/2022,8931,,,6404 · Rice Word,33.36,,
,General Journal,4/29/2022,8932,,,6401 · Super Store,20.2,,
,General Journal,5/6/2022,8952,,,6405 · Kins Farm Market,4.08,,
,General Journal,5/6/2022,8955,,,6550 · Office Supplies,31.89,,
,General Journal,5/6/2022,8951,,,6554 · Office Supplies,14.47,,
,General Journal,5/11/2022,8966,,,6402 · Walmart,39.55,,
,General Journal,5/14/2022,8975,,,6550 · Office Supplies,47.88,,
,General Journal,5/14/2022,8973,,,6550 · Office Supplies,41.29,,
,General Journal,5/18/2022,8991,,,6700 · Donation,30,,
,General Journal,5/18/2022,8989,,,6402 · Walmart,23.93,,

,,,,,,,,460.23,

,General Journal,4/19/2022,8906,,,6550 · Office Supplies,6.29,,
,,,,,,,18.94,,
,General Journal,4/25/2022,8923,,,40501 · HostDime hosting,163.03,,5
,General Journal,4/19/2022,8905,,,6550 · Office Supplies,11.54,,
,General Journal,4/19/2022,8904,,,6550 · Office Supplies,15.74,,


,General Journal,4/29/2022,8928,,,6370 · Meals,82.64,,
,General Journal,4/29/2022,8929,,,6402 · Walmart,38.55,,
,General Journal,4/29/2022,8927,,,6270 · Professional Fees,22.39,,
,General Journal,4/30/2022,8935,,,6550 · Office Supplies,291.58,,
,General Journal,4/30/2022,8934,,,6270 · Professional Fees,11.19,,
,General Journal,5/1/2022,8939,,,6550 · Office Supplies,51.94,,
,General Journal,5/1/2022,8941,,,6550 · Office Supplies,7.34,,
,General Journal,5/3/2022,8946,,,6550 · Office Supplies,7.55,,
,General Journal,5/3/2022,8947,,,6550 · Office Supplies,7.44,,
,General Journal,5/1/2022,8938,,,6550 · Office Supplies,3.5,,22
,General Journal,5/1/2022,8940,,,6550 · Office Supplies,7.86,,
,,,,,,,7.34,,
,General Journal,5/1/2022,8937,,,6550 · Office Supplies,5.4,,
,General Journal,5/1/2022,8942,,,6550 · Office Supplies,7.86,,
,General Journal,5/6/2022,8954,,,6550 · Office Supplies,12.08,,
,General Journal,5/6/2022,8953,,,6550 · Office Supplies,23.93,,
,General Journal,5/7/2022,8959,,,2118 · PC Finacial MasterCard,67.02,,
,General Journal,5/8/2022,8961,,,6550 · Office Supplies,12.91,,
,General Journal,5/7/2022,8958,,,6550 · Office Supplies,7.63,,
,General Journal,5/8/2022,8971,,,1711 · 1and1 domain,19.81,,
,General Journal,5/8/2022,8960,,,6550 · Office Supplies,32.54,,
,General Journal,5/8/2022,8963,,,6550 · Office Supplies,29.39,,

,General Journal,5/8/2022,8962,,,6550 · Office Supplies,26.12,,
,General Journal,5/10/2022,8964,,,6550 · Office Supplies,136.49,,
,General Journal,5/11/2022,8965,,,6550 · Office Supplies,92.91,,
,General Journal,5/11/2022,8967,,,6550 · Office Supplies,27.29,,21
,General Journal,5/11/2022,8969,,,6550 · Office Supplies,26.24,,
,General Journal,5/11/2022,8968,,,6550 · Office Supplies,27.29
,General Journal,5/14/2022,8974,,,6370 · Meals,13.15
,General Journal,5/14/2022,8972,,,6550 · Office Supplies,89.02
,General Journal,5/15/2022,8977,,,6345 · Telus Cell phone 778-887-8858,28
,General Journal,5/15/2022,8976,,,6345 · Telus Cell phone 778-887-8858,14.56
,General Journal,5/15/2022,8978,,,6550 · Office Supplies,58.21
,General Journal,5/16/2022,8980,,,6550 · Office Supplies,10.49
,General Journal,5/16/2022,8981,,,6550 · Office Supplies,5.54
,,,,,,,10.49
,General Journal,5/17/2022,8985,,,6550 · Office Supplies,52.4
,General Journal,5/17/2022,8987,,,6550 · Office Supplies,28.33
,General Journal,5/17/2022,8988,,,6550 · Office Supplies,15
,General Journal,5/17/2022,8986,,,6550 · Office Supplies,16.64
,General Journal,5/18/2022,8990,,microsoft office,6270 · Professional Fees,12.32
,,,,,,,27.29
,,,,,,,14.69






,,,,,,,,1705.9


,General Journal,4/24/2022,8926,,,6550 · Office Supplies,6.29,
,General Journal,4/25/2022,8924,,,6550 · Office Supplies,15.74,
,General Journal,4/25/2022,8925,,,6550 · Office Supplies,11.54,
,General Journal,5/7/2022,8957,,,1701 · DOMAIN RESELLER ACCOUNT,19.33,

,,,,,,,,





,General Journal,5/7/2022,8959,,,2118 · PC Finacial MasterCard,-67.02






,General Journal,5/16/2022,8979,,,6550 · Office Supplies,16.03
,General Journal,5/16/2022,8982,,,6550 · Office Supplies,16.79
,General Journal,5/16/2022,8983,,,6550 · Office Supplies,14.69
,General Journal,5/16/2022,8984,,,6550 · Office Supplies,8.39
,General Journal,5/20/2022,8994,,,6550 · Office Supplies,82.64
,General Journal,5/20/2022,8995,,,6550 · Office Supplies,37.79
,General Journal,5/21/2022,8996,,,6550 · Office Supplies,27.45
,General Journal,5/21/2022,8997,,,6405 · Kins Farm Market,1.49
,General Journal,5/21/2022,8998,,,6550 · Office Supplies,32.47
,General Journal,5/21/2022,8999,,,6550 · Office Supplies,40.94
,General Journal,5/21/2022,9000,,,6550 · Office Supplies,162.39
,General Journal,5/21/2022,9001,,,6550 · Office Supplies,31.49
,General Journal,5/22/2022,9002,,,6550 · Office Supplies,26.64
,General Journal,5/22/2022,9003,,,6550 · Office Supplies,21.99
,General Journal,5/22/2022,9004,,,6550 · Office Supplies,31.45
,General Journal,5/22/2022,9005,,,6550 · Office Supplies,35.69
,General Journal,5/22/2022,9006,,,6550 · Office Supplies,25.95
,General Journal,5/23/2022,9007,,,6550 · Office Supplies,48.73
,General Journal,5/23/2022,9008,,,6550 · Office Supplies,63
,General Journal,5/23/2022,9009,,,6550 · Office Supplies,40.99
,General Journal,5/23/2022,9010,,,6550 · Office Supplies,42.99
,General Journal,5/23/2022,9011,,,6550 · Office Supplies,26.79
,General Journal,5/23/2022,9012,,,6550 · Office Supplies,51.38
,General Journal,5/23/2022,9013,,,6550 · Office Supplies,59.42
,General Journal,5/23/2022,9014,,,6550 · Office Supplies,32.45
,Transfer,5/24/2022,,,Funds Transfer,10202 · TD saving,-1998
,General Journal,5/24/2022,9015,,,6550 · Office Supplies,23.52
,General Journal,5/24/2022,9016,,,6550 · Office Supplies,31.49
,General Journal,5/25/2022,9017,,,6550 · Office Supplies,62.98
,General Journal,5/25/2022,9018,,,6550 · Office Supplies,28.34
,General Journal,5/25/2022,9019,,,6550 · Office Supplies,43.94
