,"Type","Date","Num","Name","Memo","Split","Amount","Balance"
"2100 · Credit Card",,,,,,,,1583.25
"2118 · PC Finacial MasterCard",,,,,,,,1583.25
,"General Journal","12/19/2021","8691",,,"641201 · Home Depot",-23.77,1559.48
,"General Journal","12/20/2021","8681",,,"641201 · Home Depot",49.53,1609.01
,"General Journal","12/23/2021","8692",,,"1005 · Simiplii PC FIANCIAL CHEQUE",-583.25,1025.76
,"General Journal","12/24/2021","8693",,,"6550 · Office Supplies",78.75,1104.51
,"General Journal","12/24/2021","8694",,,"6402 · Walmart",14.98,1119.49
,"General Journal","12/24/2021","8695",,,"6401 · Super Store",17.78,1137.27
,"General Journal","12/24/2021","8696",,,"6403 · T & T",25.69,1162.96
,"General Journal","12/26/2021","8697",,,"40501 · HostDime hosting",160.47,1323.43
,"General Journal","12/28/2021","8698",,,"6345 · Telus Cell phone 778-887-8858",25.76,1349.19
,"General Journal","12/30/2021","8702",,"adobe","6270 · Professional Fees",22.39,1371.58
,"General Journal","12/30/2021","8703",,"green screen","6550 · Office Supplies",137.46,1509.04
,"General Journal","12/31/2021","8704",,,"6402 · Walmart",6.44,1515.48
,"General Journal","1/4/2022","8705",,,"6270 · Professional Fees",8.95,1524.43
,"General Journal","1/4/2022","8706",,,"6550 · Office Supplies",137.46,1661.89
,"General Journal","1/4/2022","8711",,,"6550 · Office Supplies",94.49,1756.38
,"General Journal","1/4/2022","8712",,,"6401 · Super Store",6.60,1762.98
,"Transfer","1/6/2022",,,"Funds Transfer","1005 · Simiplii PC FIANCIAL CHEQUE",-1000.00,762.98
,"General Journal","1/7/2022","8715",,,"6401 · Super Store",24.17,787.15
,"General Journal","1/7/2022","8716",,,"6402 · Walmart",24.98,812.13
,"General Journal","1/8/2022","8717",,,"1711 · 1and1 domain",58.73,870.86
,"General Journal","1/11/2022","8718",,,"63951 · TSI Internet  Tek savvy",92.91,963.77
,"General Journal","1/11/2022","8719",,,"6270 · Professional Fees",187.44,1151.21
,"General Journal","1/11/2022","8720",,,"6345 · Telus Cell phone 778-887-8858",11.20,1162.41
,"General Journal","1/15/2022","8726",,,"6181 · Dentist",-549.00,613.41
,"General Journal","1/17/2022","8727",,,"6341 · Italkbb-Telephone (604)253-3858",16.64,630.05
,"General Journal","1/17/2022","8728",,,"6402 · Walmart",44.69,674.74
,"General Journal","1/19/2022","8729",,,"6409 · Costco",85.03,759.77
,"General Journal","1/19/2022","8730",,,"6404 · Rice Word",15.91,775.68
"Total 2118 · PC Finacial MasterCard",,,,,,,-807.57,775.68
"Total 2100 · Credit Card",,,,,,,-807.57,775.68
"TOTAL",,,,,,,-807.57,775.68
